Mode,N,D,Phase,RB_Tot_Rot,WAVL_Tot_Rot,RB_Tot_Path,WAVL_Tot_Path
reverse,1000000,290000,Delete,144999,144993,290006,144985
reverse,1000000,310000,Insert,999963,999980,1999914,1999973
reverse,1000000,310000,Delete,154999,154994,310004,154986
reverse,1000000,330000,Insert,999963,999980,1999914,1999973
reverse,1000000,330000,Delete,164999,164995,330009,164982
reverse,1000000,350000,Insert,999963,999980,1999914,1999973
reverse,1000000,350000,Delete,174999,174992,350005,174987
reverse,1000000,370000,Insert,999963,999980,1999914,1999973
reverse,1000000,370000,Delete,184999,184992,370006,184983
reverse,1000000,390000,Insert,999963,999980,1999914,1999973
reverse,1000000,390000,Delete,194999,194994,390003,194985
reverse,1000000,410000,Insert,999963,999980,1999914,1999973
reverse,1000000,410000,Delete,204999,204994,410008,204983
reverse,1000000,430000,Insert,999963,999980,1999914,1999973
reverse,1000000,430000,Delete,214999,214994,430004,214984
reverse,1000000,450000,Insert,999963,999980,1999914,1999973
reverse,1000000,450000,Delete,224999,224994,450003,224985
reverse,1000000,470000,Insert,999963,999980,1999914,1999973
reverse,1000000,470000,Delete,234999,234994,470003,234985
reverse,1000000,490000,Insert,999963,999980,1999914,1999973
reverse,1000000,490000,Delete,244999,244995,490005,244983
reverse,1000000,510000,Insert,999963,999980,1999914,1999973
reverse,1000000,510000,Delete,254999,254995,510006,254983
reverse,1000000,530000,Insert,999963,999980,1999914,1999973
reverse,1000000,530000,Delete,264999,264994,530006,264983
reverse,1000000,550000,Insert,999963,999980,1999914,1999973
reverse,1000000,550000,Delete,274999,274994,550005,274983
reverse,1000000,570000,Insert,999963,999980,1999914,1999973
reverse,1000000,570000,Delete,284999,284993,570005,284983
reverse,1000000,590000,Insert,999963,999980,1999914,1999973
reverse,1000000,590000,Delete,294999,294995,590007,294983
reverse,1000000,610000,Insert,999963,999980,1999914,1999973
reverse,1000000,610000,Delete,304999,304993,610003,304983
reverse,1000000,630000,Insert,999963,999980,1999914,1999973
reverse,1000000,630000,Delete,314999,314993,630002,314984
reverse,1000000,650000,Insert,999963,999980,1999914,1999973
reverse,1000000,650000,Delete,324999,324994,650003,324984
reverse,1000000,670000,Insert,999963,999980,1999914,1999973
reverse,1000000,670000,Delete,334998,334993,670004,334983
reverse,1000000,690000,Insert,999963,999980,1999914,1999973
reverse,1000000,690000,Delete,344998,344993,690004,344982
reverse,1000000,710000,Insert,999963,999980,1999914,1999973
reverse,1000000,710000,Delete,354998,354992,710002,354987
reverse,1000000,730000,Insert,999963,999980,1999914,1999973
reverse,1000000,730000,Delete,364998,364993,730004,364983
reverse,1000000,750000,Insert,999963,999980,1999914,1999973
reverse,1000000,750000,Delete,374998,374993,750002,374985
reverse,1000000,770000,Insert,999963,999980,1999914,1999973
reverse,1000000,770000,Delete,384998,384995,769999,384983
reverse,1000000,790000,Insert,999963,999980,1999914,1999973
reverse,1000000,790000,Delete,394998,394995,790001,394983
reverse,1000000,810000,Insert,999963,999980,1999914,1999973
reverse,1000000,810000,Delete,404998,404994,810003,404983
reverse,1000000,830000,Insert,999963,999980,1999914,1999973
reverse,1000000,830000,Delete,414997,414992,830003,414982
reverse,1000000,850000,Insert,999963,999980,1999914,1999973
reverse,1000000,850000,Delete,424997,424994,850002,424982
reverse,1000000,870000,Insert,999963,999980,1999914,1999973
reverse,1000000,870000,Delete,434997,434992,870001,434983
reverse,1000000,890000,Insert,999963,999980,1999914,1999973
reverse,1000000,890000,Delete,444997,444992,890002,444982
reverse,1000000,910000,Insert,999963,999980,1999914,1999973
reverse,1000000,910000,Delete,454997,454991,910000,454986
reverse,1000000,930000,Insert,999963,999980,1999914,1999973
reverse,1000000,930000,Delete,464996,464991,930000,464985
reverse,1000000,950000,Insert,999963,999980,1999914,1999973
reverse,1000000,950000,Delete,474996,474994,949995,474984
reverse,1000000,970000,Insert,999963,999980,1999914,1999973
reverse,1000000,970000,Delete,484995,484991,969998,484983
reverse,1000000,990000,Insert,999963,999980,1999914,1999973
reverse,1000000,990000,Delete,494993,494989,989995,494987
seq_rev,1000000,10000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,10000,Delete,4987,4995,9990,5000
seq_rev,1000000,30000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,30000,Delete,14986,14995,29987,15001
seq_rev,1000000,50000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,50000,Delete,24985,24997,49991,24998
seq_rev,1000000,70000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,70000,Delete,34985,34995,69986,35000
seq_rev,1000000,90000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,90000,Delete,44984,44995,89987,44998
seq_rev,1000000,110000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,110000,Delete,54984,54995,109985,55001
seq_rev,1000000,130000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,130000,Delete,64984,64994,129986,65000
seq_rev,1000000,150000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,150000,Delete,74984,74996,149986,74999
seq_rev,1000000,170000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,170000,Delete,84984,84994,169985,85001
seq_rev,1000000,190000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,190000,Delete,94984,94996,189984,94998
seq_rev,1000000,210000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,210000,Delete,104984,104997,209986,104997
seq_rev,1000000,230000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,230000,Delete,114983,114997,229989,114997
seq_rev,1000000,250000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,250000,Delete,124983,124995,249986,124997
seq_rev,1000000,270000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,270000,Delete,134983,134995,269984,134999
seq_rev,1000000,290000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,290000,Delete,144983,144994,289986,144996
seq_rev,1000000,310000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,310000,Delete,154983,154994,309984,155000
seq_rev,1000000,330000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,330000,Delete,164983,164994,329984,164999
seq_rev,1000000,350000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,350000,Delete,174983,174995,349985,174997
seq_rev,1000000,370000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,370000,Delete,184983,184994,369986,184998
seq_rev,1000000,390000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,390000,Delete,194983,194994,389985,194999
seq_rev,1000000,410000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,410000,Delete,204983,204996,409981,204997
seq_rev,1000000,430000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,430000,Delete,214983,214994,429983,214999
seq_rev,1000000,450000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,450000,Delete,224983,224995,449983,224998
seq_rev,1000000,470000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,470000,Delete,234983,234995,469982,234998
seq_rev,1000000,490000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,490000,Delete,244982,244996,489983,244997
seq_rev,1000000,510000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,510000,Delete,254982,254996,509984,254997
seq_rev,1000000,530000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,530000,Delete,264982,264995,529986,264996
seq_rev,1000000,550000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,550000,Delete,274982,274995,549986,274996
seq_rev,1000000,570000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,570000,Delete,284982,284995,569985,284997
seq_rev,1000000,590000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,590000,Delete,294982,294995,589981,294998
seq_rev,1000000,610000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,610000,Delete,304982,304995,609986,304996
seq_rev,1000000,630000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,630000,Delete,314982,314993,629983,315000
seq_rev,1000000,650000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,650000,Delete,324982,324993,649984,324996
seq_rev,1000000,670000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,670000,Delete,334982,334995,669980,334999
seq_rev,1000000,690000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,690000,Delete,344982,344994,689985,344996
seq_rev,1000000,710000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,710000,Delete,354982,354993,709983,354998
seq_rev,1000000,730000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,730000,Delete,364982,364995,729983,364996
seq_rev,1000000,750000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,750000,Delete,374981,374995,749981,374998
seq_rev,1000000,770000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,770000,Delete,384981,384995,769981,384997
seq_rev,1000000,790000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,790000,Delete,394981,394993,789981,394999
seq_rev,1000000,810000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,810000,Delete,404981,404993,809982,404997
seq_rev,1000000,830000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,830000,Delete,414981,414994,829979,414998
seq_rev,1000000,850000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,850000,Delete,424981,424994,849982,424998
seq_rev,1000000,870000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,870000,Delete,434980,434995,869984,434996
seq_rev,1000000,890000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,890000,Delete,444980,444993,889982,444995
seq_rev,1000000,910000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,910000,Delete,454980,454994,909982,454996
seq_rev,1000000,930000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,930000,Delete,464980,464993,929979,464997
seq_rev,1000000,950000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,950000,Delete,474979,474992,949978,474998
seq_rev,1000000,970000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,970000,Delete,484978,484991,969978,484998
seq_rev,1000000,990000,Insert,999963,999980,1999914,1999973
seq_rev,1000000,990000,Delete,494977,494991,989975,494997
rev_seq,1000000,10000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,10000,Delete,4987,4995,9990,5000
rev_seq,1000000,30000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,30000,Delete,14986,14995,29987,15001
rev_seq,1000000,50000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,50000,Delete,24985,24997,49991,24998
rev_seq,1000000,70000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,70000,Delete,34985,34995,69986,35000
rev_seq,1000000,90000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,90000,Delete,44984,44995,89987,44998
rev_seq,1000000,110000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,110000,Delete,54984,54995,109985,55001
rev_seq,1000000,130000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,130000,Delete,64984,64994,129986,65000
rev_seq,1000000,150000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,150000,Delete,74984,74996,149986,74999
rev_seq,1000000,170000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,170000,Delete,84984,84994,169985,85001
rev_seq,1000000,190000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,190000,Delete,94984,94996,189984,94998
rev_seq,1000000,210000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,210000,Delete,104984,104997,209986,104997
rev_seq,1000000,230000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,230000,Delete,114983,114997,229989,114997
rev_seq,1000000,250000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,250000,Delete,124983,124995,249986,124997
rev_seq,1000000,270000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,270000,Delete,134983,134995,269984,134999
rev_seq,1000000,290000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,290000,Delete,144983,144994,289986,144996
rev_seq,1000000,310000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,310000,Delete,154983,154994,309984,155000
rev_seq,1000000,330000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,330000,Delete,164983,164994,329984,164999
rev_seq,1000000,350000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,350000,Delete,174983,174995,349985,174997
rev_seq,1000000,370000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,370000,Delete,184983,184994,369986,184998
rev_seq,1000000,390000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,390000,Delete,194983,194994,389985,194999
rev_seq,1000000,410000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,410000,Delete,204983,204996,409981,204997
rev_seq,1000000,430000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,430000,Delete,214983,214994,429983,214999
rev_seq,1000000,450000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,450000,Delete,224983,224995,449983,224998
rev_seq,1000000,470000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,470000,Delete,234983,234995,469982,234998
rev_seq,1000000,490000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,490000,Delete,244982,244996,489983,244997
rev_seq,1000000,510000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,510000,Delete,254982,254996,509984,254997
rev_seq,1000000,530000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,530000,Delete,264982,264995,529986,264996
rev_seq,1000000,550000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,550000,Delete,274982,274995,549986,274996
rev_seq,1000000,570000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,570000,Delete,284982,284995,569985,284997
rev_seq,1000000,590000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,590000,Delete,294982,294995,589981,294998
rev_seq,1000000,610000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,610000,Delete,304982,304995,609986,304996
rev_seq,1000000,630000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,630000,Delete,314982,314993,629983,315000
rev_seq,1000000,650000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,650000,Delete,324982,324993,649984,324996
rev_seq,1000000,670000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,670000,Delete,334982,334995,669980,334999
rev_seq,1000000,690000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,690000,Delete,344982,344994,689985,344996
rev_seq,1000000,710000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,710000,Delete,354982,354993,709983,354998
rev_seq,1000000,730000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,730000,Delete,364982,364995,729983,364996
rev_seq,1000000,750000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,750000,Delete,374981,374995,749981,374998
rev_seq,1000000,770000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,770000,Delete,384981,384995,769981,384997
rev_seq,1000000,790000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,790000,Delete,394981,394993,789981,394999
rev_seq,1000000,810000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,810000,Delete,404981,404993,809982,404997
rev_seq,1000000,830000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,830000,Delete,414981,414994,829979,414998
rev_seq,1000000,850000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,850000,Delete,424981,424994,849982,424998
rev_seq,1000000,870000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,870000,Delete,434980,434995,869984,434996
rev_seq,1000000,890000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,890000,Delete,444980,444993,889982,444995
rev_seq,1000000,910000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,910000,Delete,454980,454994,909982,454996
rev_seq,1000000,930000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,930000,Delete,464980,464993,929979,464997
rev_seq,1000000,950000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,950000,Delete,474979,474992,949978,474998
rev_seq,1000000,970000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,970000,Delete,484978,484991,969978,484998
rev_seq,1000000,990000,Insert,999963,999980,1999914,1999973
rev_seq,1000000,990000,Delete,494977,494991,989975,494997
